store_guid,store_name,store_id,store_id_text,name_for_lists,business_name,address,city,state,zip,location_phone,email_contact,program_contact,kam_who_signed_up_care_center,kam_now,kam_old,territory,region,status,offering,core_commission,pba_commission,edge_commission,pba_credentialing_status,pba_main_practice,location_doctor,evenly_entity,accepts_new_pat,area_manager
33669E77-A8AC-487B-923F-9871D5E41A9D,Dupont Flagship,cc_001,001,Dupont Flagship (Dr. Hickory),Evenly Orthodontics - Evenly Smile Studio,"1619 Connecticut Avenue, NW",Washington,DC,20009,202-342-9600,Care@Evenly.com,Dr. Wayne Hickory,Exec,Open Flagship,Open Flagship,DC,Mid Atlantic Region,Active,NA,0.2,NA,0.25,NA,NA,Dr. Wayne Hickory,DC,Yes,Lesley
F0214DB9-C66C-4570-AEF9-6836625B78E7,Alexandria Pediatric Dentistry,cc_002,002,Alexandria/Duke St. (Dr. Lopez),Alexandria Pediatric Dentistry,"3223 Duke Street, Suite A",Alexandria,VA,22314,571-257-5744,toothdocforkids@gmail.com (Dr Lopez) and info@alexandriapediatricdentistryva.com (staff),Dr. Joseph Lopez,Exec,Angela,Angela,NOVA,Mid Atlantic Region,Active,NA,0.2,NA,0.25,NA,NA,Dr. Joseph Lopez,DC,Yes,Lesley
9D9074EA-12D0-4D2F-A131-DCCA5E99307C,Navy Yard Dental,cc_003,003,Navy Yard (Dr. Jones),Navy Yard Dental,55 M St SE St 103,Washington,DC,20003,202-670-4882,info@navyyarddental.com,Fatimah- FD / Dr. Chad Jones (2ndary),Exec,Open DC,Maura,DC,Mid Atlantic Region,Active,NA,0.2,NA,0.25,NA,NA,Dr. Chad Jones,DC,Yes,Lesley
7C0E541B-1633-4EC0-BE4B-7BA6679345B1,Bethesda Dental Specialties,cc_004,004,Bethesda (Dr. Hickory),Bethesda Dental Specialties,"4405 E. West Highway, Suite 102",Bethesda,MD,20814,301-654-3011,drhickory@evenly.com,Dr. Wayne Hickory,Exec,Open Flagship,Open Flagship,Flagship,Mid Atlantic Region,Active,NA,0.2,NA,0.25,NA,NA,Dr. Wayne Hickory,DC,Yes,Lesley
2ED49F88-0F3A-49C2-8DE6-34996F50A236,Potomac Dentistry - Dr. Tamami,cc_005,005,Potomac (Dr. Tamami),Potomac Dentistry,10006 Falls Road,Potomac,MD,20854,301-983-0371,drtamami@gmail.com,Elizabeth Amara,Exec,Isaiah,Isaiah,MONTCO,Mid Atlantic Region,Inactive,NA,0.2,NA,0.25,NA,NA,Dr. Farzam Tamami,DC,No,Lesley
E0B3F4DD-E169-411E-B35D-D3395C1EFA4F,Sokoly Dental,cc_006,006,Farragut (Dr. Sokoly),Sokoly Dental,1120 19th St NW #405,Washington,DC,20036,202-298-7251,contactus@sokolydental.com,Renee Davidson,Exec,Open DC,Maura,MONTCO,Mid Atlantic Region,Active,NA,0.2,NA,0.25,NA,NA,Dr. Thomas Sokoly DDS,DC,No,Lesley
A71F1705-19EE-4E71-A0B0-9F2465C6D292,Minovi Dental,cc_007,007,South Dupont (Dr. Minovi),Minovi Dental,1234 19th St NW #400,Washington,DC,20036,202-822-8777,staff@minovidental.com,Carlos Fenwick,Exec,Open DC,Maura,DC,Mid Atlantic Region,Inactive,NA,0.2,NA,0.25,NA,NA,Dr. Liza Minovi DDS,DC,No,Lesley
50B73CFC-7A9A-41D5-85BE-5AAA94326BD6,Smiles International- M Street,cc_008,008,Smiles - West End (Dr. Watkins),Smiles International - M Street,2440 M St NW #610,Washington,DC,20037,202-466-3333,Akeeloe@smilesinternational.com,Akeeloe Beckford,Exec,Open DC,Maura,DC,Mid Atlantic Region,Active,NA,0.2,NA,0.25,NA,NA,Dr. Ben Watkins DDS,DC,Yes,Lesley
NA,Smile Experts Dental,cc_009,009,Smiles - White House (Dr. Watkins),Smile Experts Dental,1747 Pennsylvania Ave. NW,Washington,DC,20006,202-466-3333,Akeeloe@smilesinternational.com,Akeeloe Beckford,Exec,#N/A,#N/A,#N/A,#N/A,Inactive,NA,0.2,NA,0.25,NA,NA,Dr. Ben Watkins DDS,DC,No,inactive or unassigned
BD13F223-76B9-4357-A4C1-EE69A7B523DC,Smiles International- McLean,cc_010,010,Smiles - McLean (Dr.,Smiles International - McLean,6845 Elm St. STE 475,McLean,VA,22101,(703) 356-3556,mclean1@smilesinternational.com,Manveen Chaudhary,Exec,Angela,Angela,NOVA,Mid Atlantic Region,Active,NA,0.2,NA,0.25,NA,NA,Dr. Ben Watkins DDS,DC,No,Lesley
