address,normalized_address,location_name,jobId
"13135 Lee Jackson Memorial Highway Service Road suite 110, Fairfax, VA, USA",13135 lee jackson memorial highway service rd ste 110 fairfax va usa,,efb9c6f4-9156-6ca3-fe88-34c48ffac9ee
"3231 Superior Ln suite a22, Bowie, MD, USA",3231 superior ln ste a22 bowie md usa,,d99cf455-19e1-46d8-8ca8-74c6f16f85e1
"113 Westminster Pike, Reisterstown, MD 21136",113 westminster pike reisterstown md 21136,,e61263a0-6dec-4e9f-81f5-5695a3ebdb81
"3165 Mt Pleasant St NW, Washington, DC, USA",3165 mt pleasant st nw washington dc usa,,f3e59df4-2512-46b6-9885-ba0a78e00e14
"250 Kennedy St NW, Washington, DC, USA",250 kennedy st nw washington dc usa,,49962b97-a249-4936-8a53-8f9eba029df7
"10905 Fort Washington Rd, Fort Washington, MD 20744, USA",10905 fort washington rd fort washington md 20744 usa,,d3bc7169-ebaf-4500-aaf6-bb456aa3bcfa
"1750 Rockville Pike #10, Rockville, MD 20852, USA",1750 rockville pike #10 rockville md 20852 usa,,14ba1787-c7f8-49ea-af50-f39c6a8450fb
"7100 Heritage Village Plaza #101, Gainesville, VA 20155, USA",7100 heritage village plaza #101 gainesville va 20155 usa,,b50dd163-8cb5-4cdd-a649-6d9ec47f29da
"7600 Hanover Parkway Greenbelt, MD 20770",7600 hanover parkway greenbelt md 20770,,e8b11d67-d3fa-43ea-8386-14c03ee14e8e
"13974 Baltimore Avenue, Laurel, MD, USA",13974 baltimore ave laurel md usa,,0d742326-b6ed-4246-97e7-fd7f1e4b3bc9
"Wormans Mill Dental Group, Mill Pond Road, Frederick, MD, USA",wormans mill dental group mill pond rd frederick md usa,,05fbd1ba-07f8-4873-a7c0-de8a7ef8287a
"13954 Baltimore Ave, Laurel, MD 20707, USA",13954 baltimore ave laurel md 20707 usa,,e27d64eb-7efa-4a98-b019-8167d4429cb2
"6304 Kenwood Ave suite 5, Rosedale, MD, USA",6304 kenwood ave ste 5 rosedale md usa,,4a7f6a46-1574-4946-85f1-2e5d15932063
"8647 Belair Rd, Nottingham, MD, USA",8647 belair rd nottingham md usa,,ce432193-04c0-4c46-b7da-9e80159a639d
"Prime Care Dental, Philadelphia Road, White Marsh, MD, USA",prime care dental philadelphia rd white marsh md usa,,a8f96b51-1490-4320-a655-3ac0595f443b
"1617 Postal Rd Chester, MD 21619",1617 postal rd chester md 21619,,76ad3bab-388f-4026-b2cd-86848ffc41fd
"1540 Pointer Ridge Pl., Suite A, Bowie, MD 20716",1540 pointer ridge pl ste a bowie md 20716,,035ab97b-2d31-3354-2435-39571c765257
"11300 Rockville Pike suite 1013, Rockville, MD 20852, USA",11300 rockville pike ste 1013 rockville md 20852 usa,,e94ab2c3-40ef-fde2-fc6f-6ac3d256e591
"177 St Patricks Dr suite 103, Waldorf, MD, USA",177 st patricks dr ste 103 waldorf md usa,,cba3235a-1e82-3387-506b-692ac11c03ad
"6201 Greenbelt Rd suite m5, Berwyn Heights, MD 20740, USA",6201 greenbelt rd ste m5 berwyn heights md 20740 usa,,e53c85f9-78f7-f3f4-5422-1f9a72519b71
6845 Elm Street #615 McLean VA 22101,6845 elm st #615 mclean va 22101,,8812fd7c-fb37-4057-9def-77f594177bc3
"1100 E 33rd St., Suite 105A, Baltimore, MD 21218",1100 e 33rd st ste 105a baltimore md 21218,,25034090-329a-fcf9-2396-fe819e37912f
"405 Frederick Rd suite 152, Catonsville, MD 21228, USA",405 frederick rd ste 152 catonsville md 21228 usa,,02cd0b18-d836-6c94-6426-d027355b3cee
"20915 Ashburn Rd. Ashburn, VA 20147",20915 ashburn rd ashburn va 20147,,9c844fc4-780a-499c-a936-8272875186a3
"7610 Carroll Ave, Takoma Park, MD 20912, USA",7610 carroll ave takoma park md 20912 usa,,9c29964a-0f77-4ad0-a161-c985b57b1ff2
"303 Post Office Rd., Suite B1, Waldorf, MD 20602",303 post office rd ste b1 waldorf md 20602,,734a4f69-ad80-4771-84b0-aa6afd954ef3
"3231 Superior Ln, Bowie, MD 20715, USA",3231 superior ln bowie md 20715 usa,,5521279e-294e-4962-8d46-ecd480362654
"5666 Columbia Pike suite a, Falls Church, VA, USA",5666 columbia pike ste a falls church va usa,,c4e462a5-9614-4926-af70-41ada3a0e5b6
"Lanham Smiles, Annapolis Road, Lanham, MD, USA",lanham smiles annapolis rd lanham md usa,,63b7a30a-fd39-407c-bc77-09d460ab5160
"14333 Laurel Bowie Rd STE 301, Laurel, MD 20708, USA",14333 laurel bowie rd ste 301 laurel md 20708 usa,,287770b1-3e04-4169-ad2d-c771fcfdd8a4
"16036 Frederick Rd, Woodbine, MD, USA",16036 frederick rd woodbine md usa,,fe21bdca-d0a3-4d82-85a1-3f72feed106c
"7500 Hanover Pkwy., Suite 202, Greenbelt, MD 20770",7500 hanover pkwy ste 202 greenbelt md 20770,,7382591f-1875-7890-2469-830577e26582
"Purcellville Pediatric Dentistry, 17333 Pickwick Dr Suite A, Purcellville, VA 20132, USA",purcellville pediatric dentistry 17333 pickwick dr ste a purcellville va 20132 usa,,8ba16b08-b50c-4f0d-9091-65ae418b449a
"322 N Buckmarsh St, Berryville, VA 22611",322 n buckmarsh st berryville va 22611,,d39d2cca-8a5e-41f0-a4c1-4d8bf7b80741
"15204 Omega Dr., Suite 140",15204 omega dr ste 140,,0da56567-c240-4107-b6c8-594294ef1470
"44330 Premier Plaza suite 200, Ashburn, VA, USA",44330 premier plaza ste 200 ashburn va usa,,f814608c-df77-49a9-a1aa-2f9a48b61412
"775 Hungerford Drive, Rockville, MD, USA",775 hungerford dr rockville md usa,,33270a7a-8ecc-457c-a987-4f166141ccd4
"6845 Elm St #475, McLean, VA 22101, USA",6845 elm st #475 mclean va 22101 usa,,5f2feadf-6706-4f37-aa6c-fb0d51d1d77a
"2440 M St NW #610, Washington, DC 20037, USA",2440 m st nw #610 washington dc 20037 usa,,75760fec-4c22-448b-9a1d-12e06198d697
"3350 Middletown Rd., Suite 107",3350 middletown rd ste 107,,37ea1a4a-b89c-48ed-a0b8-55e6b900b312
"6211 Centreville Rd suite 600, Centreville, VA, USA",6211 centreville rd ste 600 centreville va usa,,5897a0c6-9032-443a-988a-035b58f576bb
"7505 New Hampshire Ave #305, Takoma Park, MD 20912, USA",7505 new hampshire ave #305 takoma park md 20912 usa,,e213b8ff-529b-40f3-9085-1057af00824f
"15245 Shady Grove Rd # 420, Rockville, MD 20850, USA",15245 shady grove rd # 420 rockville md 20850 usa,,b2012e59-bf15-456c-bd5c-bb1a3a843934
"15511 Annapolis Rd, Bowie, MD 20715, USA",15511 annapolis rd bowie md 20715 usa,,8db5fb84-3c4a-4ad9-a407-d5b71a40bc68
"6545 Crain Hwy, La Plata, MD, USA",6545 crain hwy la plata md usa,,304ef529-1c98-4037-a591-f3edc091c09b
"3903 Fair Ridge Dr suite 214, Fairfax, VA 22033, USA",3903 fair ridge dr ste 214 fairfax va 22033 usa,,8e51f8c2-c291-b1fd-5f53-adb9774b11c8
"9500 Pennsylvania Ave. suite 14, Upper Marlboro, MD, USA",9500 pennsylvania ave ste 14 upper marlboro md usa,,6d39c697-562b-4f21-9991-305ea324e819
"3925 University Dr, Fairfax, VA, USA",3925 university dr fairfax va usa,,9c76e6b7-1758-487e-abd7-2e37f84cc8f1
"8206 Tuckerman Ln, Potomac, MD 20854, USA",8206 tuckerman ln potomac md 20854 usa,,be2ce89d-4916-46db-9797-f75dd20e8c29
"3223 Duke St, Alexandria, VA 22314, USA",3223 duke st alexandria va 22314 usa,,2d7a8d85-e4b8-4a0f-b508-67b6e283a0af
"532 Baltimore Blvd # 412, Westminster, MD 21157, USA",532 baltimore blvd # 412 westminster md 21157 usa,,5e5ed227-d1a4-479f-b630-d68dd1c05b0d
"8757 Georgia Ave, Silver Spring, MD 20910, USA",8757 georgia ave silver spring md 20910 usa,,a94af604-fe78-4c9c-881e-d78a780fb4b5
